Code;Airport;City;Country Code
LHR;Heathrow Airport;London;GB
CDG;Charles de Gaulle Airport;Paris;FR
AMS;Amsterdam Airport Schiphol;Amsterdam;NL
FRA;Frankfurt Airport;Frankfurt;DE
ISL;Istanbul Ataturk Airport;Istanbul;TR
MAD;Adolfo Suarez Madrid-Barajas Airport;Madrid;ES
BCN;Barcelona El Prat Airport;Barcelona;ES
LGW;London-Gatwick Airport;London;GB
MUC;Munich Airport;Munich;DE
FCO;Leonardo da Vinci-Fiumicino Airport;Rome;IT
SVO;Sheremetyevo International Airport;Moscow;RU
ORY;Paris-Orly Airport;Paris;FR
CPH;Copenhagen Airport;Copenhagen;DK
BRU;Brussels Airport;Brussels;BE
HEL;Helsinki Airport;Helsinki;FI
LTN;Luton Airport;London;GB
ATL;Hartsfield-Jackson Atlanta International Airport;Atlanta;US
ORD;Chicago OHare International Airport;Chicago;US
LAX;Los Angeles International Airport;Los Angeles;US
JFK;John F. Kennedy International Airport;New York City;US
DEN;Denver International Airport;Denver;US
IAD;Washington Dulles International Airport;Washington;US
LGA;LaGuardia Airport;New York City;US
YYZ;Toronto Pearson International Airport;Toronto;CA
PEK;Beijing Capital International Airport;Beijing;CN
SYD;Sydney Airport;Sydney;AU
AKL;Auckland Airport;Auckland;NZ
