Code;Fom;To;Departs;Arrives;Price;Arrives on next day
BA-100;LHR;CDG;05:30;06:20;40;FALSE
BA-102;LHR;CDG;07:30;08:20;70;FALSE
BA-104;LHR;CDG;08:10;09:00;50;FALSE
BA-106;LHR;CDG;12:30;13:20;50;FALSE
BA-108;LHR;CDG;17:30;18:20;50;FALSE
BA-110;LHR;CDG;20:30;21:20;40;FALSE
BA-112;LHR;CDG;22:30;23:20;40;FALSE
BA-114;LHR;CDG;23:30;00:20;40;TRUE
BA-200;LHR;FRA;06:00;07:30;60;FALSE
BA-210;LHR;FRA;08:00;09:30;40;FALSE
BA-220;LHR;FRA;11:00;12:30;50;FALSE
BA-230;LHR;FRA;16:00;17:30;40;FALSE
BA-240;LHR;FRA;19:00;20:30;40;FALSE
BA-250;LHR;FRA;20:30;22:00;80;FALSE
BA-300;LHR;BCN;08:00;10:30;60;FALSE
BA-310;LHR;BCN;11:00;13:30;70;FALSE
BA-320;LHR;BCN;20:30;23:00;120;FALSE
BA-400;LHR;MUC;05:30;07:30;70;FALSE
BA-410;LHR;MUC;11:00;13:00;50;FALSE
BA-420;LHR;MUC;17:00;19:00;40;FALSE
BA-430;LHR;MUC;22:00;00:00;40;TRUE
BA-500;LHR;ISL;08:30;12:30;110;FALSE
BA-510;LHR;ISL;19:30;23:30;90;FALSE
BA-600;LHR;ORY;07:30;08:30;30;FALSE
BA-610;LHR;ORY;12:30;13:30;30;FALSE
BA-10001;LHR;JFK;06:30;15:20;420;FALSE
BA-10002;LHR;YYZ;07:30;16:20;480;FALSE
BA-700;LGW;HEL;07:30;10:00;70;FALSE
BA-710;LGW;HEL;10:30;13:00;50;FALSE
BA-720;LGW;HEL;17:30;20:00;70;FALSE
BA-730;LGW;HEL;21:30;00:00;100;TRUE
BA-800;LGW;CDG;07:00;08:00;40;FALSE
BA-810;LGW;CDG;09:00;10:00;40;FALSE
BA-820;LGW;CDG;15:00;16:00;50;FALSE
BA-830;LGW;CDG;21:00;22:00;40;FALSE
BA-900;LGW;FRA;23:00;00:00;25;TRUE
BA-1000;LTN;MAD;06:00;08:00;60;FALSE
BA-1010;LTN;MAD;10:00;12:00;70;FALSE
BA-1020;LTN;MAD;15:00;17:00;70;FALSE
BA-1030;LTN;MAD;19:00;21:00;80;FALSE
BA-1040;LTN;MAD;23:00;01:00;50;TRUE
AY-100;HEL;LHR;06:00;08:30;170;FALSE
AY-110;HEL;LHR;09:00;11:30;70;FALSE
AY-120;HEL;LHR;17:00;19:30;80;FALSE
AY-130;HEL;LHR;19:00;21:30;70;FALSE
AY-140;HEL;LHR;21:00;23:30;60;FALSE
AY-200;HEL;CDG;08:00;10:30;80;FALSE
AY-210;HEL;CDG;17:00;19:30;80;FALSE
AY-220;HEL;CDG;20:00;22:30;90;FALSE
AY-300;HEL;AMS;07:00;09:30;80;FALSE
AY-310;HEL;AMS;11:00;13:30;70;FALSE
AY-320;HEL;AMS;18:00;20:30;50;FALSE
AY-400;HEL;SVO;08:00;10:00;100;FALSE
AY-410;HEL;SVO;13:00;15:00;80;FALSE
AY-420;HEL;SVO;21:00;23:00;80;FALSE
AY-500;HEL;BRU;12:00;14:20;60;FALSE
AY-510;HEL;BRU;22:00;00:20;50;TRUE
IB-100;MAD;CDG;07:00;09:00;30;FALSE
IB-110;MAD;CDG;11:00;13:00;70;FALSE
IB-120;MAD;CDG;13:30;15:30;70;FALSE
IB-130;MAD;CDG;16:30;18:30;50;FALSE
IB-140;MAD;CDG;19:30;21:30;100;FALSE
IB-200;MAD;BCN;05:30;06:30;30;FALSE
IB-210;MAD;BCN;07:30;08:30;50;FALSE
IB-220;MAD;BCN;11:30;12:30;40;FALSE
IB-230;MAD;BCN;14:30;15:30;40;FALSE
IB-240;MAD;BCN;17:30;18:30;20;FALSE
IB-250;MAD;BCN;19:30;20:30;40;FALSE
IB-260;MAD;BCN;20:30;21:30;50;FALSE
IB-270;MAD;BCN;21:30;22:30;25;FALSE
IB-280;MAD;BCN;22:30;23:30;45;FALSE
IB-300;MAD;LHR;05:45;08:00;70;FALSE
IB-310;MAD;LHR;08:45;11:00;60;FALSE
IB-320;MAD;LHR;12:45;15:00;50;FALSE
IB-330;MAD;LHR;18:45;21:00;90;FALSE
IB-340;MAD;LHR;20:45;23:00;70;FALSE
IB-350;MAD;LHR;22:45;01:00;60;TRUE
IB-400;MAD;LGW;09:00;11:15;90;FALSE
IB-410;MAD;LGW;15:00;17:15;70;FALSE
IB-420;MAD;LGW;22:00;00:15;60;TRUE
IB-500;MAD;CPH;07:00;09:30;80;FALSE
IB-510;MAD;CPH;11:00;13:30;80;FALSE
IB-520;MAD;CPH;18:00;20:30;60;FALSE
IB-530;MAD;CPH;22:00;00:30;80;TRUE
IB-610;MAD;FRA;07:30;10:00;70;FALSE
IB-620;MAD;FRA;09:30;12:00;80;FALSE
IB-630;MAD;FRA;15:30;18:00;60;FALSE
IB-640;MAD;FRA;20:30;23:00;50;FALSE
IB-70000;MAD;IAD;21:30;06:20;500;TRUE
IB-800;BCN;CDG;06:00;08:00;50;FALSE
IB-810;BCN;CDG;11:00;13:00;70;FALSE
IB-820;BCN;CDG;17:00;19:00;50;FALSE
IB-830;BCN;CDG;20:00;22:00;40;FALSE
AF-100;CDG;LHR;06:00;06:50;50;FALSE
AF-110;CDG;LHR;08:00;08:50;30;FALSE
AF-120;CDG;LHR;12:00;12:50;30;FALSE
AF-130;CDG;LHR;15:00;15:50;50;FALSE
AF-140;CDG;LHR;18:00;18:50;30;FALSE
AF-150;CDG;LHR;22:00;22:50;50;FALSE
AF-200;CDG;AMS;06:30;07:30;50;FALSE
AF-210;CDG;AMS;09:30;10:30;50;FALSE
AF-220;CDG;AMS;11:30;13:30;40;FALSE
AF-230;CDG;AMS;19:30;20:30;40;FALSE
AF-240;CDG;AMS;22:30;23:30;30;FALSE
AF-30000;CDG;ISL;04:30;13:20;160;FALSE
AF-40000;CDG;FCO;05:30;14:20;120;FALSE
AF-50000;CDG;CPH;06:30;15:20;120;FALSE
AF-600;CDG;BRU;07:30;08:10;30;FALSE
AF-610;CDG;BRU;10:30;11:10;30;FALSE
AF-620;CDG;BRU;18:30;19:10;20;FALSE
AF-700;ORY;LTN;08:30;09:20;30;FALSE
AF-710;ORY;LTN;14:30;15:20;30;FALSE
AF-720;ORY;LTN;21:30;22:20;30;FALSE
AF-800;ORY;BRU;09:30;18:20;40;FALSE
LH-100;FRA;MUC;06:00;06:40;30;FALSE
LH-110;FRA;MUC;08:00;08:40;30;FALSE
LH-120;FRA;MUC;11:00;11:40;40;FALSE
LH-130;FRA;MUC;15:00;15:40;20;FALSE
LH-140;FRA;MUC;19:00;19:40;20;FALSE
LH-150;FRA;MUC;23:00;23:40;30;FALSE
LH-200;FRA;LHR;07:00;08:30;50;FALSE
LH-210;FRA;LHR;13:00;14:30;40;FALSE
LH-220;FRA;LHR;15:00;16:30;40;FALSE
LH-230;FRA;LHR;19:00;20:30;50;FALSE
LH-300;FRA;CDG;06:30;07:50;40;FALSE
LH-310;FRA;CDG;09:30;10:50;50;FALSE
LH-320;FRA;CDG;15:30;16:50;40;FALSE
LH-330;FRA;CDG;19:30;20:50;30;FALSE
LH-340;FRA;CDG;23:30;00:50;40;TRUE
LH-400;FRA;MAD;06:30;08:30;70;FALSE
LH-410;FRA;MAD;08:30;10:30;60;FALSE
LH-420;FRA;MAD;14:30;16:30;60;FALSE
LH-430;FRA;MAD;19:30;21:30;60;FALSE
SN-100;BRU;LHR;06:00;07:00;30;FALSE
SN-110;BRU;LHR;09:00;10:00;20;FALSE
SN-120;BRU;LHR;15:00;16:00;30;FALSE
SN-130;BRU;LHR;23:00;00:00;20;FALSE
SN-200;BRU;CDG;09:00;09:40;25;FALSE
SN-210;BRU;CDG;15:00;15:40;30;FALSE
SN-220;BRU;CDG;19:00;19:40;20;FALSE
SN-230;BRU;CDG;23:00;23:40;20;FALSE
SN-300;BRU;ORY;06:30;07:10;30;FALSE
SN-310;BRU;ORY;13:30;14:10;20;FALSE
SN-400;BRU;AMS;06:00;06:30;25;FALSE
SN-410;BRU;AMS;08:00;08:30;30;FALSE
SN-420;BRU;AMS;14:00;14:30;20;FALSE
SN-440;BRU;AMS;17:00;17:30;35;FALSE
SN-450;BRU;AMS;19:00;19:30;20;FALSE
SN-460;BRU;AMS;23:00;23:30;25;FALSE
SN-500;BRU;MAD;16:00;18:30;60;FALSE
SN-510;BRU;MAD;22:00;00:30;70;TRUE
SN-600;BRU;BCN;07:00;09:10;70;FALSE
SN-610;BRU;BCN;16:00;18:10;50;FALSE
SN-700;BRU;FRA;07:00;07:50;20;FALSE
SN-710;BRU;FRA;12:00;12:50;40;FALSE
SN-720;BRU;FRA;20:00;20:50;35;FALSE
SN-800;BRU;MUC;17:00;18:10;40;FALSE
SN-900;BRU;CPH;11:00;12:20;40;FALSE
SN-1000;BRU;HEL;06:00;08:20;40;FALSE
SN-1010;BRU;HEL;18:00;20:20;70;FALSE
SN-1100;BRU;LGW;23:00;23:50;20;FALSE
